Country,Total Hr/yr,Math Avg Score,Math Hr/yr,Math %hr,Sci Avg Score,Sci Hr/yr,Sci %hr,Math/Sci HR Ratio,Math/Sci Score Ratio
Malta,891,496,183,21,446,39,4,4.692307692,1.112107623
Netherlands,"1,074",540,195,18,531,42,4,4.642857143,1.016949153
Morocco,"1,040",335,174,17,264,44,5,3.954545455,1.268939394
Australia,"1,008",516,230,23,516,65,6,3.538461538,1
New Zealand,925,486,168,18,497,52,6,3.230769231,0.977867203
Northern Ireland-GBR,970,562,232,24,517,72,8,3.222222222,1.087040619
Norway,817,495,157,19,494,55,7,2.854545455,1.002024291
Italy,"1,085",508,214,20,524,78,7,2.743589744,0.969465649
Czech Republic,782,511,163,21,536,60,8,2.716666667,0.953358209
Romania,796,482,148,19,505,56,7,2.642857143,0.954455446
Armenia,851,452,139,16,416,54,6,2.574074074,1.086538462
England-GBR,970,542,188,19,529,76,8,2.473684211,1.024574669
Kazakhstan,779,501,140,18,495,57,8,2.456140351,1.012121212
Poland,764,481,157,21,505,64,8,2.453125,0.952475248
Ireland,854,527,150,18,516,63,7,2.380952381,1.021317829
Lithuania,649,534,133,21,515,60,9,2.216666667,1.036893204
Germany,863,528,163,19,528,75,8,2.173333333,1
Singapore,"1,012",606,208,21,583,96,9,2.166666667,1.039451115
Azerbaijan,804,463,130,18,438,61,8,2.131147541,1.057077626
Serbia,778,516,153,20,516,72,10,2.125,1
Russian Federation,660,542,104,16,552,49,8,2.12244898,0.981884058
Hungary,760,515,148,20,534,72,10,2.055555556,0.964419476
Denmark,863,537,124,15,528,62,7,2,1.017045455
United States,"1,078",541,206,19,544,105,10,1.961904762,0.994485294
   TIMSS average,897,500,162,18,500,85,10,1.905882353,1
Tunisia,963,359,175,19,346,93,10,1.88172043,1.037572254
Sweden,849,504,138,17,533,75,9,1.84,0.945590994
Hong Kong-CHN,"1,059",602,158,15,535,88,8,1.795454545,1.125233645
Saudi Arabia,977,410,147,15,429,82,8,1.792682927,0.955710956
Slovenia,684,513,169,25,520,101,15,1.673267327,0.986538462
Japan,891,585,150,17,559,91,10,1.648351648,1.046511628
Portugal,940,532,250,27,522,162,17,1.543209877,1.019157088
Bahrain,964,436,131,14,449,85,9,1.541176471,0.971046771
Thailand,"1,201",458,167,14,472,109,9,1.532110092,0.970338983
Austria,808,508,146,18,532,96,12,1.520833333,0.954887218
Yemen,831,248,135,16,209,91,11,1.483516484,1.186602871
Chinese Taipei-CHN,989,591,133,12,552,90,9,1.477777778,1.070652174
Slovak Republic,780,507,147,19,532,101,13,1.455445545,0.953007519
Chile,"1,228",462,231,19,480,161,13,1.434782609,0.9625
United Arab Emirates,"1,025",434,154,15,428,108,11,1.425925926,1.014018692
Finland,779,545,139,18,570,98,13,1.418367347,0.956140351
Oman,999,385,170,17,377,120,12,1.416666667,1.021220159
Kuwait,928,342,120,13,347,85,10,1.411764706,0.985590778
Croatia,776,490,134,18,516,95,13,1.410526316,0.949612403
"Iran, Islamic Republic of",727,431,146,20,453,106,14,1.377358491,0.951434879
Qatar,"1,068",413,185,17,394,135,13,1.37037037,1.04822335
Georgia,748,450,148,21,455,110,16,1.345454545,0.989010989
Turkey,900,469,126,15,463,94,11,1.340425532,1.012958963
"Korea, Republic of",789,605,121,15,587,92,11,1.315217391,1.030664395
Spain,884,482,167,19,505,145,16,1.151724138,0.954455446
Belgium (Flemish)-BEL,"1,010",549,224,21,509,0,0,0,1.078585462
