Country,Math/Sci HR Ratio,Math/Sci Score Ratio
Malta,4.692307692,1.112107623
Netherlands,4.642857143,1.016949153
Morocco,3.954545455,1.268939394
Australia,3.538461538,1
New Zealand,3.230769231,0.977867203
Northern Ireland-GBR,3.222222222,1.087040619
Norway,2.854545455,1.002024291
Italy,2.743589744,0.969465649
Czech Republic,2.716666667,0.953358209
Romania,2.642857143,0.954455446
Armenia,2.574074074,1.086538462
England-GBR,2.473684211,1.024574669
Kazakhstan,2.456140351,1.012121212
Poland,2.453125,0.952475248
Ireland,2.380952381,1.021317829
Lithuania,2.216666667,1.036893204
Germany,2.173333333,1
Singapore,2.166666667,1.039451115
Azerbaijan,2.131147541,1.057077626
Serbia,2.125,1
Russian Federation,2.12244898,0.981884058
Hungary,2.055555556,0.964419476
Denmark,2,1.017045455
United States,1.961904762,0.994485294
   TIMSS average,1.905882353,1
Tunisia,1.88172043,1.037572254
Sweden,1.84,0.945590994
Hong Kong-CHN,1.795454545,1.125233645
Saudi Arabia,1.792682927,0.955710956
Slovenia,1.673267327,0.986538462
Japan,1.648351648,1.046511628
Portugal,1.543209877,1.019157088
Bahrain,1.541176471,0.971046771
Thailand,1.532110092,0.970338983
Austria,1.520833333,0.954887218
Yemen,1.483516484,1.186602871
Chinese Taipei-CHN,1.477777778,1.070652174
Slovak Republic,1.455445545,0.953007519
Chile,1.434782609,0.9625
United Arab Emirates,1.425925926,1.014018692
Finland,1.418367347,0.956140351
Oman,1.416666667,1.021220159
Kuwait,1.411764706,0.985590778
Croatia,1.410526316,0.949612403
"Iran, Islamic Republic of",1.377358491,0.951434879
Qatar,1.37037037,1.04822335
Georgia,1.345454545,0.989010989
Turkey,1.340425532,1.012958963
"Korea, Republic of",1.315217391,1.030664395
Spain,1.151724138,0.954455446
Belgium (Flemish)-BEL,0,1.078585462
